,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time,avg_speed_kmph,density_veh_per_km,avg_wait_time_s,occupancy_pct,flow_veh_per_hr,queue_length_veh,avg_accel_ms2,SRI,Degree_of_congestion
103,114,71.24137482,90.49357714,1278,afternoon,31.89610995,43.28,30.39,17.08,41.9,1500.36,11.63,0.464,4.2857137,Mild congestion
104,86,49.52555889,29.94978904,547,morning,7.122859505,70.02,10.97,6.97,11.18,2064.44,0.6,0.758,4.2857137,Mild congestion
105,113,75.32709514,5.674081008,856,afternoon,20.42144236,67.36,6.95,5.34,14.22,1983.2,1.23,0.75,6.000001,Heavy congestion
106,123,97.42821426,91.67930885,1028,afternoon,28.65702447,5.88,89.36,110.68,91.72,93.11,62.04,-1.046,6.000001,Heavy congestion
107,30,57.98866084,33.04826745,1127,evening,40.92493458,42.28,34.3,16.95,41.32,1490.98,10.56,0.422,5.555556,Heavy congestion
108,125,48.76878443,1.373805698,1475,morning,2.488054514,26.59,60.49,50.13,71.13,790.96,21.17,-0.288,5.555556,Heavy congestion
109,76,3.474742636,47.49197752,1201,night,3.198882008,44.33,33.68,19.05,36.56,1542.6,9.69,0.385,7.1428576,Heavy congestion
110,137,62.08116012,11.58765808,1161,afternoon,2.301653142,45.28,31.34,20,39.96,1457.33,9.42,0.428,4.2857137,Mild congestion
111,76,51.24969384,90.17018747,1210,night,23.72075143,70.99,10.41,3.32,10.61,1908.79,3.52,0.701,4.2857137,Mild congestion
112,37,51.75121889,15.49954284,849,evening,25.32291775,45.06,26.37,22.79,41.26,1509.39,9.37,0.317,4.2857137,Mild congestion
113,31,45.54540451,30.44188048,865,night,0.332295222,43.54,26,21.13,43.21,1486.93,9.77,0.353,2.0000014,Smooth
114,119,41.30428142,79.04501709,535,evening,32.07459494,21.07,58.86,56.34,70.83,701.59,25.02,-0.353,4.2857137,Mild congestion
115,13,30.0196137,80.63469703,1297,morning,43.23195979,67.2,10.63,7.31,9.58,1955.29,1.76,0.881,4.2857137,Mild congestion
116,86,66.15088657,90.12799887,545,evening,3.719654125,7.14,84.52,115.31,93.15,98.99,62.59,-1.169,4.2857137,Mild congestion
117,120,0,49.73961569,917,afternoon,12.34421402,64.72,12.05,-0.09,9.31,1892.91,2.58,0.89,1.6363636,Smooth
118,72,58.86798357,98.6720629,1359,evening,56.90802579,69.79,14.6,5.89,13.28,1979.1,1.64,0.784,2.6399999,Mild congestion
119,74,19.68520535,51.61890058,684,morning,34.86574515,4.1,94.07,119.98,93.83,105.4,67.09,-0.987,2.0689654,Smooth
120,72,75.58138382,79.07077916,913,morning,10.89992862,67.9,7.51,11.14,11.68,2067.48,2.9,0.673,3.7837837,Mild congestion
121,87,43.34610379,36.19024159,804,afternoon,40.67212457,4.93,91.66,135.44,93.88,100.84,58.47,-1.004,3.7837837,Mild congestion
122,82,61.18922636,94.12913163,570,afternoon,65.48213519,44,28.91,20.15,41.9,1546.07,12.93,0.48,2.2033896,Smooth
123,134,53.8273689,68.50162267,1453,night,11.10236223,4.98,87.46,123,95.24,99.78,55.81,-1.102,2.2033896,Smooth
124,61,73.89365887,7.709825166,1457,afternoon,34.58733733,47.21,29.22,22.29,44.24,1489.04,10,0.391,3.4751773,Mild congestion
125,115,86.89957379,10.85198288,1324,evening,2.942261412,4.95,92.17,125.43,94.77,100.22,61.41,-0.983,3.9473684,Mild congestion
126,89,73.18787029,89.08105511,856,afternoon,1.814256377,26.16,58.53,53.83,69.68,811.84,24.71,-0.327,2.9770992,Mild congestion
127,33,62.37259726,80.95585125,1300,night,26.47533138,25.07,62.4,53.65,68.47,769.98,25.04,-0.314,-0.57692355,Very smooth
128,102,44.3244647,33.00942398,1312,afternoon,20.34326689,25.17,60.03,46.07,65.92,787.96,24.03,-0.208,0.17857157,Smooth
129,84,59.7074803,52.15959637,583,night,49.8358788,48.81,30.1,16.29,41.16,1546.72,9.21,0.48,-8.810076991,Very smooth
130,31,70.57171467,85.27484378,529,afternoon,45.4624833,68.03,8.75,4.36,10.72,2002.49,2.1,0.795,0.17857157,Smooth
131,42,42.2795806,10.34311041,1477,morning,10.13541124,72.12,9.81,5.63,9.86,1970.01,1.59,0.716,0.17857157,Smooth
132,121,51.3655748,13.81394216,1223,afternoon,21.5393321,5.03,91.14,125.3,96.02,94.28,60.84,-0.974,-1.0000001,Very smooth
133,101,34.7510205,71.55269387,705,evening,42.29015149,44.04,25.47,18.83,41.87,1554.01,12.39,0.424,-1.0000001,Very smooth
134,57,67.33881357,8.220548244,522,morning,9.480501456,70.63,9.82,4.69,13.31,1979.01,2.43,0.761,-0.3773588,Very smooth
135,63,60.0263424,35.25664964,1171,afternoon,13.48069207,25.32,62.63,47.18,68.12,758.85,27.11,-0.18,-0.3773588,Very smooth
136,119,24.59090234,25.18083222,596,afternoon,1.851905423,68.71,11.81,8.62,9.42,1986.02,2.04,0.651,1.6666664,Smooth
137,37,56.75812697,76.02858946,1482,morning,4.194714855,25.52,61.01,44.39,74.22,803.88,26.91,-0.374,-1.0000001,Very smooth
138,67,46.09071267,0.24478736,1174,morning,28.26521121,6.49,93.2,123.18,94.39,86.37,62.36,-0.927,-0.18518533,Very smooth
139,66,52.54352457,11.5384717,1191,morning,20.6001187,24.63,64.13,50.34,72.5,869.5,24.83,-0.3,-0.18518533,Very smooth
140,69,35.99626618,9.9007541,1305,evening,5.538990474,69.43,10.84,4.92,10.02,2004.87,1.22,0.782,-0.7843136,Very smooth
141,111,76.35098966,31.80770519,837,afternoon,0.2192352,46.61,32.52,21.56,37.46,1483.88,10.65,0.571,-0.8333325,Very smooth
142,52,36.89882577,23.2479499,1288,night,5.554960931,67.51,8.34,2.37,8.5,1998.77,0.53,0.798,-0.40000033,Very smooth
143,79,92.51073356,22.82827851,1449,afternoon,41.54565647,4.42,86,124.21,91.12,99.17,54.06,-0.938,-0.40000033,Very smooth
144,49,52.99508929,37.03932613,1086,afternoon,2.950961429,25.34,62.71,57.33,66.86,796.72,24.63,-0.17,-0.8333325,Very smooth
145,60,44.12891916,21.40489775,879,morning,15.44748779,69.49,11.64,4.28,8.75,1969.35,1.46,0.812,0.37037066,Smooth
146,77,58.97894733,10.62141887,1334,night,8.185341928,71.83,9.64,4.52,10.18,2013.96,3.5,0.886,-0.40000033,Very smooth
147,108,56.18232649,58.32512643,1352,afternoon,23.91503501,24.59,57.8,51.49,67.14,775.83,21.34,-0.383,-1.8181816,Very smooth
148,27,89.59260649,95.1737697,1279,afternoon,21.49568841,69.79,10.38,6.48,14.04,2033.78,2.91,0.873,-1.8181816,Very smooth
149,69,59.29281226,60.7164927,614,morning,122.1543792,42.98,29.69,20.07,37.14,1544.03,9.53,0.436,-1.8181816,Very smooth
150,36,12.91263301,75.70206706,1439,afternoon,44.46831284,21.18,65.2,54.21,69.15,807.87,26.73,-0.303,-1.8181816,Very smooth
151,66,37.31273141,97.21768392,1323,evening,83.57851915,5.76,96.55,123.71,98.18,137.11,59.57,-0.836,0.37037066,Smooth
152,61,66.20644568,15.31626452,992,afternoon,25.87953252,43.71,32.36,20.45,39.16,1485.74,10.27,0.427,-10.79731774,Very smooth
153,105,46.52453906,45.98099721,905,evening,40.15729913,24.15,57.2,56.19,74.15,856.99,26.17,-0.323,-0.8333325,Very smooth
154,58,39.95827699,58.18473575,971,morning,67.63573418,4.41,91.61,117.25,97.01,73.48,54.39,-0.961,-0.8333325,Very smooth
155,53,36.59126645,32.21128266,1411,afternoon,1.258147288,68.95,7.07,2.53,9.03,2085.11,1.86,0.731,-10.79731774,Very smooth
156,40,31.60017978,61.31294785,785,evening,74.11242897,3.5,87.42,114.34,92.36,97.28,63.64,-0.974,-0.8333325,Very smooth
157,67,55.09198947,62.38204902,1211,afternoon,7.138972164,26.66,59.42,49.49,73.17,780.59,26.06,-0.262,-0.8333325,Very smooth
158,63,36.69786462,84.22292363,666,morning,36.62503554,45.05,27.47,21.41,39.31,1477.84,11.29,0.507,-10.79731774,Very smooth
159,101,76.89590692,83.25153827,1049,morning,44.52924396,71.87,7.95,6.09,11.36,2031.71,2.7,0.845,-2.0588243,Very smooth
160,105,33.42198362,14.25219388,562,afternoon,3.473303994,5.95,91.59,123.69,97.36,92.76,64.02,-0.898,-10.0839534,Very smooth
161,42,23.95248503,16.88918902,524,morning,91.79206962,4.39,94.69,122.26,96.54,111.25,56.15,-1.122,-1.388889,Very smooth
162,57,49.61954973,22.23719878,530,evening,78.33825544,73.16,9.83,3.06,9.58,2041.93,2.3,0.926,-0.78947335,Very smooth
163,87,9.287471467,26.1230231,1228,morning,31.88746238,47.49,28.75,28.09,39.54,1456.82,9.9,0.435,-0.78947335,Very smooth
164,69,1.877786449,56.44934072,1231,morning,5.064247378,22.54,59.2,50.36,72.96,843.6,25.52,-0.285,-3.6666675,Very smooth
165,41,62.49266688,32.74903409,1134,evening,25.04481752,25.42,60.64,57.58,72.36,755.92,20.8,-0.311,-2.424242,Very smooth
166,80,51.09365827,95.29626866,1071,afternoon,12.65445934,24.95,61.03,44.57,69.93,774.87,20.29,-0.36,-2.424242,Very smooth
167,123,8.273517328,11.83014213,573,morning,80.10717512,43.15,31.02,20.93,38.57,1457.42,8.1,0.342,-1.7142861,Very smooth
168,108,51.81655972,24.64849765,1064,afternoon,15.65941544,25.16,60.69,47.57,69.45,780.33,25.54,-0.454,-1.7142861,Very smooth
169,46,44.16525345,86.83175421,736,evening,35.50054215,45.4,28.09,24.74,37.79,1492.92,9.56,0.382,-0.78947335,Very smooth
170,120,19.53467946,58.43311351,1133,afternoon,30.40182153,44.28,25.8,22.46,40.45,1458.18,9.67,0.492,-1.388889,Very smooth
171,61,64.62446064,54.74284463,1430,morning,9.483075009,2.63,90.7,124.78,94.08,105.22,57.28,-0.983,-2.424242,Very smooth
172,106,80.36998353,59.43452517,1371,morning,23.00360765,71.9,13.73,3.36,6.39,2045.6,1.61,0.703,-2.424242,Very smooth
173,80,88.49953257,25.22645596,1116,morning,15.8279736,72.05,7.34,4.8,10.55,1996.16,2.26,0.815,-1.388889,Very smooth
174,43,56.53744698,76.14472232,824,evening,14.08224737,44.99,30.98,19.61,40.72,1517.25,10.42,0.435,-1.0810809,Very smooth
175,106,50.44853182,49.65321136,594,morning,59.85421554,68.2,8.43,9.06,10.14,2001.56,3.24,0.712,-1.0810809,Very smooth
176,73,85.48391554,4.259594126,530,afternoon,4.516258396,44.1,28.94,19.66,41.76,1489.06,11.64,0.412,-2.424242,Very smooth
177,36,55.0466878,17.71582623,1523,night,15.8490202,70.32,7.32,5.28,14.09,1956.52,1.45,0.8,-14.37211869,Very smooth
178,76,43.18687013,81.66241554,757,night,0.203260627,47.08,24.91,26.62,40.11,1553.74,10.91,0.424,1.2499989,Smooth
179,101,36.88131903,34.50447656,1279,morning,9.10988558,27.27,64.69,50.72,69.48,817.63,22.48,-0.223,0.66666716,Smooth
180,97,61.07481841,77.3444127,920,evening,29.16574272,4.37,88.17,115.12,95.25,101.37,67.58,-0.968,-3.9999993,Very smooth
181,117,17.26724047,66.33767354,534,afternoon,2.747748082,22.68,56.28,52.87,71.81,819.54,27.73,-0.182,-14.37211869,Very smooth
182,59,73.19176824,30.14597807,1075,afternoon,9.489903834,5.01,93.49,118.71,92.48,72.12,62.72,-0.983,2.222222,Smooth
183,70,22.18515784,12.7035544,643,evening,63.66516593,73.67,9.75,4.86,7.51,1982.04,2.45,0.971,-1.6666682,Very smooth
184,49,33.04443373,80.69452866,1317,afternoon,35.31363163,24.92,54.31,53.11,68.06,777.45,23.88,-0.355,-1.6666682,Very smooth
185,94,56.18369783,64.30873608,500,morning,2.186436835,5.89,89.87,117.75,96.49,81.4,59.83,-0.987,1.2499989,Smooth
186,36,84.91215877,30.07975086,1388,afternoon,146.3086258,4.02,88.78,130.35,97.59,116.91,59.74,-1.11,1.2499989,Smooth
187,99,44.62785639,52.32749682,819,night,87.08999505,45.57,29.12,19.89,39.84,1496.99,10.69,0.278,0.66666716,Smooth
188,41,28.98356493,61.19030715,983,evening,4.583693336,42.66,27.72,17.19,43.39,1506.11,10.79,0.459,2.222222,Smooth
189,83,71.34899209,0.211852168,835,afternoon,76.48083653,71.66,10.83,3.97,9.01,2027.9,0.96,0.628,1.2499989,Smooth
190,49,41.18134551,67.05132748,614,afternoon,23.95148137,70.42,10,3.99,13.13,2013.41,1.18,0.63,1.2499989,Smooth
191,104,16.41610115,65.60780671,1196,evening,79.51369637,46.49,34.6,16.69,39.71,1559.14,11.61,0.383,2.222222,Smooth
192,36,62.12241834,8.25784216,1373,afternoon,103.3082153,23.34,61.97,50.88,67.4,843.27,25.21,-0.341,1.2499989,Smooth
193,57,45.55553184,78.77533337,1028,evening,35.48234844,3.87,88.55,121.2,95.14,83.77,58.03,-1.108,1.2499989,Smooth
194,50,45.12010001,82.508885,880,morning,10.32959343,25.92,55.86,46.25,71.98,724.53,24.35,-0.43,-0.76923144,Very smooth
195,103,64.74123022,29.01624707,929,evening,77.57131652,71.89,10.63,5.13,12.05,1945.72,1.62,0.799,1.8750004,Smooth
196,80,66.55356815,16.22126572,727,afternoon,25.56277081,41.81,30.21,19.64,41.34,1511.94,8.86,0.554,2.9729733,Mild congestion
197,104,34.96956722,68.64814991,1091,afternoon,12.53561293,23.42,57.41,50.89,71.24,747.98,23.61,-0.377,-0.8333325,Very smooth
198,111,52.44681587,12.33501584,1214,morning,18.4876924,24.22,64.15,46.25,66.07,794.62,27.6,-0.36,2.777778,Mild congestion
